condition,svm_accuracy,svm_f1,bert_accuracy,bert_f1,svm_accuracy_drop,bert_accuracy_drop
clean_baseline (Step 2),0.9931,0.9932,0.9514,0.9446,0.0,0.0
clean,1.0,1.0,0.9586206896551724,0.9515219289012391,-0.006900000000000017,-0.007220689655172419
icon_headers,1.0,1.0,0.9241379310344827,0.9124508469078658,-0.006900000000000017,0.027262068965517305
table_based,1.0,1.0,0.9586206896551724,0.9515219289012391,-0.006900000000000017,-0.007220689655172419
two_column,1.0,1.0,0.9586206896551724,0.9515219289012391,-0.006900000000000017,-0.007220689655172419
